use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
abandon,-0.010,rage,-0.067,situate,-0.060
demolish,-0.010,enrage,-0.068,inaugurate,-0.060
sleep,-0.010,ignore,-0.068,adjoin,-0.061
murder,-0.011,separate,-0.069,stave,-0.061
obliterate,-0.013,thrash,-0.070,undulate,-0.061
tramp,-0.013,hammer,-0.070,wend,-0.061
handwrite,-0.014,refuse,-0.070,surge,-0.061
limp,-0.017,melt,-0.071,ail,-0.061
cry,-0.017,deposit,-0.071,reserve,-0.061
burn,-0.018,dull,-0.072,bereave,-0.061
vanish,-0.021,retard,-0.072,depute,-0.062
erase,-0.022,exalt,-0.075,scruple,-0.062
haunt,-0.023,prick,-0.075,spur,-0.063
sober,-0.024,absent,-0.078,interpose,-0.063
degrade,-0.024,destroy,-0.081,encroach,-0.064
dull,-0.025,starve,-0.082,scend,-0.064
absent,-0.025,frown,-0.082,enjoin,-0.064
dry,-0.026,pound,-0.084,variegate,-0.064
flesh,-0.028,exterminate,-0.086,slacken,-0.065
strangle,-0.029,obliterate,-0.087,remonstrate,-0.066
ignore,-0.039,hate,-0.089,forbear,-0.066
empty,-0.040,demolish,-0.092,mortify,-0.066
disappear,-0.041,detach,-0.101,thrust,-0.066
divorce,-0.046,empty,-0.102,disperse,-0.066
decompose,-0.056,degrade,-0.104,moon,-0.078
